name,opt_sol,or_tools_cost_1,or_tools_cost_30,or_tools_cost_60
XML100_1233_17,9242,9621,9487,9487
XML100_1254_19,9584,10211,9771,9771
XML100_2214_01,10559,10857,10699,10653
XML100_2145_13,10661,10956,10701,10696
XML100_1123_26,17378,18580,18244,18223
XML100_1221_14,29290,31081,30438,29971
XML100_2334_18,11106,11742,11382,11382
XML100_2313_06,12178,13180,12389,12389
XML100_3246_23,5868,6118,5956,5889
XML100_2142_08,17705,19142,18248,18248
XML100_2123_17,11959,13151,12457,12379
XML100_1275_04,6684,6966,6751,6751
XML100_2265_11,6881,7432,7061,6931
XML100_3326_14,9602,10365,10113,9716
XML100_2125_04,9899,10056,10003,10003
XML100_1123_14,18933,20045,19798,19504
XML100_2275_12,6955,7637,7127,7097
XML100_3316_18,10743,11087,10859,10857
XML100_2222_10,13931,14462,14255,14240
XML100_3243_25,18932,19328,19105,19105
XML100_3271_26,39649,40369,40115,40115
XML100_2372_05,19123,20330,19213,19208
XML100_2112_10,16111,16776,16369,16369
XML100_1273_20,13218,14082,13742,13695
XML100_3346_13,10005,10994,10238,10230
XML100_2215_04,7235,7568,7301,7301
XML100_1126_07,8673,9621,8972,8673
XML100_2144_16,10868,11512,11101,11101
XML100_2174_06,10349,10845,10554,10447
XML100_3125_01,11688,13015,11968,11968
XML100_2173_04,12135,13040,12240,12203
XML100_2351_25,23736,24458,24263,24192
XML100_3175_07,12453,13348,12898,12453
XML100_2162_11,17834,19889,18274,18212
XML100_2122_27,18414,21268,19035,18884
XML100_1265_17,7347,7634,7493,7438
XML100_2372_07,18693,19688,19491,18915
XML100_2122_13,17390,18756,17439,17433
XML100_2371_22,23126,23781,23579,23322
XML100_2125_10,8951,9464,8951,8951
XML100_3253_14,17263,17892,17846,17846
